name,category,Link
Điện thoại iPhone 15 Pro Max 256GB,/dtdd/iphone-15-pro-max,https://www.thegioididong.com/dtdd/iphone-15-pro-max
Điện thoại Samsung Galaxy S23 Ultra 5G 8GB/256GB,/dtdd/samsung-galaxy-s23-ultra,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-ultra
Điện thoại OPPO Reno11 F 5G 8GB/256GB Tím,/dtdd/oppo-reno11-f-5g,https://www.thegioididong.com/dtdd/oppo-reno11-f-5g
Điện thoại Xiaomi Redmi Note 13 8GB/128GB,/dtdd/xiaomi-redmi-note-13,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13
Điện thoại vivo Y100 8GB/256GB,/dtdd/vivo-y100,https://www.thegioididong.com/dtdd/vivo-y100
Điện thoại realme C65 8GB/256GB,/dtdd/realme-c65,https://www.thegioididong.com/dtdd/realme-c65
Điện thoại Samsung Galaxy A55 5G 12GB/256GB,/dtdd/samsung-galaxy-a55-5g,https://www.thegioididong.com/dtdd/samsung-galaxy-a55-5g
Điện thoại iPhone 13 128GB,/dtdd/iphone-13,https://www.thegioididong.com/dtdd/iphone-13
Điện thoại Samsung Galaxy M54 5G 8GB/256GB,/dtdd/samsung-galaxy-m54,https://www.thegioididong.com/dtdd/samsung-galaxy-m54
Điện thoại Xiaomi Redmi Note 13 Pro 8GB/128GB,/dtdd/xiaomi-redmi-note-13-pro,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13-pro
Điện thoại OPPO A58 8GB/128GB,/dtdd/oppo-a58-4g,https://www.thegioididong.com/dtdd/oppo-a58-4g
Điện thoại realme Note 50 3GB/64GB,/dtdd/realme-note-50-64gb,https://www.thegioididong.com/dtdd/realme-note-50-64gb
Điện thoại Samsung Galaxy S23 FE 5G 8GB/128GB Xanh mint/Trắng,/dtdd/samsung-galaxy-s23-fe,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-fe
Điện thoại Samsung Galaxy A35 5G 8GB/256GB,/dtdd/samsung-galaxy-a35-5g,https://www.thegioididong.com/dtdd/samsung-galaxy-a35-5g
